measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,England,Male,30-34 years,All causes,Rate,2019,76.0117846425226,76.9923902090299,75.1016936547748
Deaths,England,Male,30-34 years,Prostate cancer,Number,2019,1.14800773396537,1.66017801551168,0.995910887989386
Deaths,England,Male,30-34 years,Prostate cancer,Rate,2019,0.0558114585154412,0.0807110907876274,0.0484171295763869
Deaths,England,Both,35-39 years,All causes,Number,2019,3295.52851338379,3332.94506937917,3259.13284636287
Deaths,England,Both,35-39 years,All causes,Rate,2019,84.1220813686751,85.0771811516677,83.1930409279183
Deaths,England,Female,35-39 years,All causes,Number,2019,1221.69910090358,1244.77366811605,1199.51527647967
Deaths,England,Female,35-39 years,All causes,Rate,2019,62.7840379801941,63.9698573879128,61.6439945160163
Deaths,England,Female,35-39 years,Breast cancer,Number,2019,166.085694748839,174.531433314667,157.65053015818
Deaths,England,Female,35-39 years,Breast cancer,Rate,2019,8.53526908497001,8.96930195811822,8.10177961637875
Deaths,England,Male,35-39 years,All causes,Number,2019,2073.8294124802,2105.32709253219,2044.83395299579
Deaths,England,Male,35-39 years,All causes,Rate,2019,105.180866822599,106.778372032445,103.710269702057
Deaths,England,Male,35-39 years,Prostate cancer,Number,2019,1.51130125462975,2.10926044142462,1.23598156059473
Deaths,England,Male,35-39 years,Prostate cancer,Rate,2019,0.0766504588253142,0.106977864354973,0.062686743247906
Deaths,England,Both,40-44 years,All causes,Number,2019,4518.45354519914,4575.43801394021,4464.11354749393
Deaths,England,Both,40-44 years,All causes,Rate,2019,129.608597260247,131.243155850984,128.04989342336
Deaths,England,Female,40-44 years,All causes,Number,2019,1715.88598154504,1747.15903208958,1685.29315928858
Deaths,England,Female,40-44 years,All causes,Rate,2019,98.900484471372,100.703005083474,97.1371709557582
Deaths,England,Female,40-44 years,Breast cancer,Number,2019,259.131897100639,272.043166870988,247.124103363051
Deaths,England,Female,40-44 years,Breast cancer,Rate,2019,14.9358817782067,15.6800634133281,14.2437748253832
Deaths,England,Male,40-44 years,All causes,Number,2019,2802.56756365411,2852.1922218631,2756.78089546927
Deaths,England,Male,40-44 years,All causes,Rate,2019,160.030796799509,162.864438955751,157.416309610175
Deaths,England,Male,40-44 years,Prostate cancer,Number,2019,3.20107871180798,4.24748299512535,2.57917120418216
Deaths,England,Male,40-44 years,Prostate cancer,Rate,2019,0.182786379001922,0.242537627608882,0.147274530769728
Deaths,England,Both,45-49 years,All causes,Number,2019,7352.8003771262,7452.40845307848,7257.39090365476
Deaths,England,Both,45-49 years,All causes,Rate,2019,194.311781909139,196.944115406325,191.790404495043
Deaths,England,Female,45-49 years,All causes,Number,2019,2945.0942255407,2998.86655767044,2892.27088901717
Deaths,England,Female,45-49 years,All causes,Rate,2019,154.821051205661,157.647816106393,152.044174181545
Deaths,England,Female,45-49 years,Breast cancer,Number,2019,453.190077958007,474.954786419877,431.724501818282
Deaths,England,Female,45-49 years,Breast cancer,Rate,2019,23.8238096618293,24.9679615242821,22.6953829263223
Deaths,England,Male,45-49 years,All causes,Number,2019,4407.70615158551,4495.47050959237,4325.73008730569
Deaths,England,Male,45-49 years,All causes,Rate,2019,234.23255841528,238.896496846436,229.876219175613
Deaths,England,Male,45-49 years,Prostate cancer,Number,2019,14.8240436110072,20.59037416054,12.8524998324843
Deaths,England,Male,45-49 years,Prostate cancer,Rate,2019,0.78777339996154,1.09420543304964,0.683002408568424
Deaths,England,Both,5-9 years,All causes,Number,2019,241.040744616418,246.347204727856,236.496957727739
Deaths,England,Both,5-9 years,All causes,Rate,2019,7.11736716095469,7.27405446707038,6.98319980414817
Deaths,England,Female,5-9 years,All causes,Number,2019,103.81330885828,105.053282343633,102.59748733385
Deaths,England,Female,5-9 years,All causes,Rate,2019,6.28264087521061,6.35768239145683,6.20906100293461
Deaths,England,Female,5-9 years,Breast cancer,Number,2019,0,0,0
Deaths,England,Female,5-9 years,Breast cancer,Rate,2019,0,0,0
