measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Finland,Male,70 to 74,Breast cancer,Rate,2019,0.749041274,1.225703102,0.404585508
Deaths,Finland,Female,70 to 74,Breast cancer,Rate,2019,79.86958728,96.69623693,65.50854882
Deaths,Finland,Male,75 to 79,Breast cancer,Number,2019,0.880133193,1.522819811,0.468421065
Deaths,Finland,Female,75 to 79,Breast cancer,Number,2019,139.5393356,169.5080425,113.8510501
Deaths,Finland,Male,75 to 79,Breast cancer,Rate,2019,0.936828067,1.620914142,0.49859499
Deaths,Finland,Female,75 to 79,Breast cancer,Rate,2019,118.0016582,143.3447423,96.27831927
Deaths,Finland,Male,All Ages,Breast cancer,Number,2019,6.138010646,7.64515442,4.936417135
Deaths,Finland,Female,All Ages,Breast cancer,Number,2019,1039.393967,1144.728679,925.0617926
Deaths,Finland,Male,All Ages,Breast cancer,Rate,2019,0.224826495,0.280031002,0.180813855
Deaths,Finland,Female,All Ages,Breast cancer,Rate,2019,37.06846169,40.82506972,32.99097234
Deaths,Finland,Male,80 to 84,Breast cancer,Number,2019,0.898909514,1.687881375,0.419885431
Deaths,Finland,Female,80 to 84,Breast cancer,Number,2019,136.8459833,171.2262987,105.4425518
Deaths,Finland,Male,80 to 84,Breast cancer,Rate,2019,1.383230796,2.597290896,0.646114486
Deaths,Finland,Female,80 to 84,Breast cancer,Rate,2019,142.6462238,178.4837547,109.9117525
Deaths,Finland,Male,85 to 89,Breast cancer,Number,2019,0.493932044,1.064035543,0.215054785
Deaths,Finland,Female,85 to 89,Breast cancer,Number,2019,111.4212219,140.4631109,83.45099971
Deaths,Finland,Male,85 to 89,Breast cancer,Rate,2019,1.447283212,3.117758398,0.630137654
Deaths,Finland,Female,85 to 89,Breast cancer,Rate,2019,176.5247901,222.5358936,132.2115299
Deaths,Finland,Male,90 to 94,Breast cancer,Number,2019,0.315103749,0.579944992,0.146661123
Deaths,Finland,Female,90 to 94,Breast cancer,Number,2019,77.54541892,101.1240653,55.4660076
Deaths,Finland,Male,90 to 94,Breast cancer,Rate,2019,2.269427531,4.176856472,1.056276836
Deaths,Finland,Female,90 to 94,Breast cancer,Rate,2019,227.823472,297.0960241,162.9555763
Deaths,Finland,Male,95 plus,Breast cancer,Number,2019,0.066959859,0.119415721,0.032207531
Deaths,Finland,Female,95 plus,Breast cancer,Number,2019,34.48389903,48.26332714,22.13887994
Deaths,Finland,Male,95 plus,Breast cancer,Rate,2019,1.796955045,3.204676423,0.864331037
Deaths,Finland,Female,95 plus,Breast cancer,Rate,2019,287.6610494,402.6075857,184.6802019
Deaths,Finland,Male,1 to 4,All causes,Number,2019,12.47096729,14.17966401,11.01472815
Deaths,Finland,Female,1 to 4,All causes,Number,2019,9.549217261,10.45558561,8.750424537
Deaths,Finland,Male,1 to 4,All causes,Rate,2019,11.52388591,13.10281926,10.17823779
Deaths,Finland,Female,1 to 4,All causes,Rate,2019,9.23803756,10.11487015,8.465275041
Deaths,Finland,Male,5 to 9,All causes,Number,2019,11.67334823,12.64137523,10.79723827
Deaths,Finland,Female,5 to 9,All causes,Number,2019,11.12427509,11.68099491,10.61534012
Deaths,Finland,Male,5 to 9,All causes,Rate,2019,7.49185182,8.113123,6.929572186
Deaths,Finland,Female,5 to 9,All causes,Rate,2019,7.465782155,7.839410892,7.124223031
Deaths,Finland,Male,10 to 14,All causes,Number,2019,15.20267519,16.24020978,14.2534504
Deaths,Finland,Female,10 to 14,All causes,Number,2019,13.2563602,13.85932567,12.69935142
